artist_name,valence,energy,danceability,acousticness,tempo,artist_clean
31 Minutos;C-Lurio & Area 31,0.904,0.831,0.773,0.13,0.49939999999999996,31 minutos;c-lurio & area 31
31 Minutos;Corchetis,0.727,0.861,0.674,0.0863,0.6394850000000001,31 minutos;corchetis
31 Minutos;John Quijada,0.563,0.916,0.637,0.736,0.564225,31 minutos;john quijada
31 Minutos;Johnny Choapino,0.856,0.906,0.671,0.539,0.625525,31 minutos;johnny choapino
31 Minutos;Juantástico,0.559,0.983,0.636,0.423,0.570625,31 minutos;juantástico
31 Minutos;Las Minilolas,0.822,0.944,0.685,0.154,0.520075,31 minutos;las minilolas
31 Minutos;Pe & Pa,0.671,0.826,0.638,0.102,0.6846949999999999,31 minutos;pe & pa
31 Minutos;Pepelota,0.421,0.851,0.606,0.719,0.5817,31 minutos;pepelota
311,0.8,0.861,0.61,0.00451,0.767735,311
32 Leaves,0.189,0.691,0.411,1.55e-05,0.714935,32 leaves
347aidan,0.4897777777777778,0.4826666666666667,0.7912222222222222,0.5697888888888889,0.5937055555555556,347aidan
347aidan;Kenny Beats,0.727,0.307,0.852,0.403,0.7004,347aidan;kenny beats
36 Crazyfists,0.5812,0.8891,0.46820000000000006,0.0076961,0.7521695,36 crazyfists
38 Special,0.86,0.747,0.4629999999999999,0.014899999999999998,0.6447875,38 special
3FORCE,0.06415,0.7716666666666666,0.43250000000000005,0.031102333333333333,0.6768416666666667,3force
3FORCE;Scandroid,0.178,0.898,0.401,0.000323,0.74984,3force;scandroid
3LAU;Bright Lights,0.2865,0.79,0.504,0.1815,0.639815,3lau;bright lights
3LAU;Justin Caruso;Iselin,0.25,0.752,0.571,0.0196,0.5102150000000001,3lau;justin caruso;iselin
3LAU;Ninja,0.52,0.957,0.534,8.05e-05,0.47523000000000004,3lau;ninja
3OH!3,0.582,0.861,0.642,0.0318,0.46456000000000003,3oh!3
3OH!3;Katy Perry;Matt Squire,0.232,0.805,0.607,0.00175,0.69947,3oh!3;katy perry;matt squire
3TEETH,0.318,0.99,0.517,2.95e-05,0.6399199999999999,3teeth
3x7 Veintiuna,0.74,0.623,0.545,0.377,0.61324,3x7 veintiuna
4 Tune Fairytales,0.4856666666666667,0.953,0.5003333333333333,0.10916666666666665,0.89026,4 tune fairytales
4*TOWN (From Disney and Pixar’s Turning Red);Jordan Fisher;Finneas O'Connell;Topher Ngo;Grayson Villanueva;Josh Levi,0.221,0.364,0.622,0.178,0.600375,4*town (from disney and pixar’s turning red);jordan fisher;finneas o'connell;topher ngo;grayson villanueva;josh levi
40 Below Summer,0.463,0.893,0.341,0.00136,0.51891,40 below summer
44phantom,0.5448000000000001,0.6656,0.6238666666666667,0.13404999999999997,0.645777,44phantom
44phantom;Machine Gun Kelly,0.412,0.716,0.667,0.238,0.7247150000000001,44phantom;machine gun kelly
450,0.352,0.454,0.609,0.119,0.6505200000000001,450
450;Weekday,0.54,0.757,0.631,0.532,0.688925,450;weekday
48th St. Collective,0.439,0.395,0.64,0.79,0.54031,48th st. collective
4Keus Gang,0.697,0.677,0.609,0.582,0.649445,4keus gang
4ever Falling,0.494,0.419,0.795,0.891,0.605245,4ever falling
4ever Falling;Auram,0.148,0.256,0.71,0.638,0.60009,4ever falling;auram
4hero,0.5532,0.6368,0.626,0.08574040000000001,0.697506,4hero
4hero;Carina Andersson,0.417,0.676,0.359,0.0103,0.378875,4hero;carina andersson
4hero;Jill Scott,0.539,0.528,0.631,0.283,0.75224,4hero;jill scott
4hero;Lady Alma,0.679,0.664,0.802,0.0213,0.600455,4hero;lady alma
4i20;Claudinho Brasil;Mandragora;Devochka,0.0829,0.46,0.582,0.019,0.6399750000000001,4i20;claudinho brasil;mandragora;devochka
4to28,0.7505,0.546,0.6679999999999999,0.15205000000000002,0.7062824999999999,4to28
4yye;B.Baby,0.191,0.452,0.877,0.178,0.600115,4yye;b.baby
5 Adım,0.525,0.469,0.476,0.887,0.55442,5 adım
5 Seconds of Summer,0.2915,0.651,0.6759999999999999,0.03385,0.6482625,5 seconds of summer
5 a Seco,0.486,0.286,0.391,0.733,0.29239,5 a seco
5 a Seco;Pedro Altério;Tó Brandileone,0.264,0.436,0.616,0.246,0.61446,5 a seco;pedro altério;tó brandileone
50 Cent,0.777,0.713,0.899,0.255,0.450255,50 cent
509-E;Dexter;Afro-X,0.7706000000000001,0.573,0.6526,0.30179999999999996,0.46092500000000003,509-e;dexter;afro-x
50landing,0.16,0.289,0.465,0.69,0.41649500000000006,50landing
53 Thieves,0.28400000000000003,0.423,0.7095,0.4765,0.40977250000000004,53 thieves
6 Dogs,0.377,0.342,0.764,0.886,0.6994750000000001,6 dogs
6091,0.32624285714285717,0.557,0.6945714285714286,0.47235714285714286,0.7178428571428571,6091
6091;Chai Lenin,0.141,0.34,0.521,0.186,0.8,6091;chai lenin
6091;Krameri,0.256,0.286,0.709,0.964,0.51976,6091;krameri
6091;Padmaja Sreenivasan,0.33,0.55,0.443,0.93,0.7182550000000001,6091;padmaja sreenivasan
6091;Rakhooo,0.3526666666666667,0.4593333333333333,0.6163333333333334,0.762,0.6167949999999999,6091;rakhooo
6091;Sayanora Philip,0.611,0.442,0.446,0.79,0.580925,6091;sayanora philip
6EJOU,0.341,0.957,0.593,0.0392,0.899965,6ejou
6ix9ine,0.4532,0.6908,0.7229,0.06523799999999999,0.5998525,6ix9ine
6ix9ine;A Boogie Wit da Hoodie,0.654,0.809,0.772,0.0863,0.487035,6ix9ine;a boogie wit da hoodie
6ix9ine;Akon,0.503,0.779,0.649,0.0332,0.44988999999999996,6ix9ine;akon
6ix9ine;Anuel AA,0.537,0.8634999999999999,0.6775,0.4305,0.5051749999999999,6ix9ine;anuel aa
6ix9ine;Bobby Shmurda,0.833,0.63,0.733,0.13,0.749955,6ix9ine;bobby shmurda
6ix9ine;DJ SpinKing,0.523,0.767,0.779,0.00214,0.45990499999999995,6ix9ine;dj spinking
6ix9ine;Fetty Wap;A Boogie Wit da Hoodie,0.469,0.857,0.599,0.0321,0.9399250000000001,6ix9ine;fetty wap;a boogie wit da hoodie
6ix9ine;Leftside,0.729,0.648,0.872,0.112,0.490095,6ix9ine;leftside
6ix9ine;Lil Baby,0.683,0.691,0.82,0.0113,0.71014,6ix9ine;lil baby
6ix9ine;Nicki Minaj,0.493,0.422,0.744,0.0319,0.90003,6ix9ine;nicki minaj
6ix9ine;Nicki Minaj;Kanye West,0.438,0.673,0.761,0.0917,0.800385,6ix9ine;nicki minaj;kanye west
6ix9ine;Nicki Minaj;Murda Beatz,0.375,0.387,0.931,0.088,0.62989,6ix9ine;nicki minaj;murda beatz
6ix9ine;Tory Lanez,0.342,0.715,0.745,0.128,0.472555,6ix9ine;tory lanez
6o,0.483,0.661,0.514,0.45,0.403025,6o
6t6,0.503,0.469,0.905,0.758,0.565615,6t6
6t6;Big Smoak,0.837,0.732,0.6485,0.5049999999999999,0.511925,6t6;big smoak
6t6;Marksman;Silk Boss;1Biggs Don;Big Smoak,0.632,0.453,0.71,0.594,0.8824,6t6;marksman;silk boss;1biggs don;big smoak
6t6;Skillibang;DJ Smoak,0.349,0.411,0.868,0.7,0.54844,6t6;skillibang;dj smoak
6t6;T.O.K;Squash;Rygin King,0.643,0.416,0.675,0.0607,0.60437,6t6;t.o.k;squash;rygin king
7 Minutoz,0.3469538461538461,0.6954615384615385,0.6091538461538462,0.4124615384615385,0.5651623076923077,7 minutoz
7 Minutoz;Dk 47,0.703,0.776,0.826,0.318,0.55999,7 minutoz;dk 47
7 Minutoz;Sid;Rod 3030,0.635,0.728,0.748,0.382,0.500245,7 minutoz;sid;rod 3030
7!!,0.48600000000000004,0.7244999999999999,0.423,0.08755,0.838495,7!!
7Horse,0.457,0.948,0.39,0.144,0.39813499999999996,7horse
7evin7ins,0.523,0.464,0.636,0.127,0.8997350000000001,7evin7ins
7ru7h,0.539,0.666,0.661,0.0486,0.8347199999999999,7ru7h
8 Graves,0.39,0.824,0.533,0.231,0.7753749999999999,8 graves
8 Kalacas,0.6115,0.9575,0.346,0.0165545,0.724115,8 kalacas
80purppp,0.537,0.4164,0.7949999999999999,0.825,0.578176,80purppp
831,0.43,0.666,0.547,0.4,0.6490699999999999,831
88GLAM,0.594,0.672,0.764,0.0166,0.7501049999999999,88glam
89ine,0.076,0.296,0.603,0.103,0.48009,89ine
8Kays;Diana Miro;Jerome Isma-Ae,0.133,0.668,0.706,0.0162,0.6199600000000001,8kays;diana miro;jerome isma-ae
8percent,0.55,0.385,0.795,0.851,0.54998,8percent
8th Sin;Mandragora,0.074,0.649,0.713,0.0261,0.689975,8th sin;mandragora
9 Lazy 9,0.6466666666666666,0.4666666666666666,0.7399999999999999,0.45503333333333335,0.545045,9 lazy 9
91 All Stars;LE RISQUE;Zokush;Daks,0.571,0.799,0.702,0.263,0.6999850000000001,91 all stars;le risque;zokush;daks
916frosty,0.3296,0.6292,0.534,0.3832,0.577449,916frosty
916frosty;Joey Melrose,0.59,0.865,0.633,0.0159,0.80013,916frosty;joey melrose
92914,0.376,0.167,0.735,0.929,0.7392700000000001,92914
9mm Parabellum Bullet,0.5840000000000001,0.9383333333333334,0.36733333333333335,0.0011667777777777779,0.8187077777777777,9mm parabellum bullet
9smkr;Shiloh Dynasty,0.68,0.0337,0.789,0.963,0.52998,9smkr;shiloh dynasty
:Wumpscut:,0.286,0.778,0.533,0.0125,0.50001,:wumpscut:
=LOVE,0.6244166666666667,0.9042500000000001,0.527875,0.10965683749999999,0.7231835416666667,=love
? & The Mysterians,0.88,0.562,0.65,0.0623,0.6183700000000001,? & the mysterians
A Banda Mais Bonita da Cidade,0.272,0.16,0.374,0.604,0.9103600000000001,a banda mais bonita da cidade
A Dama,0.759,0.537,0.774,0.387,0.61724,a dama
A Day To Remember,0.34266956521739134,0.9239130434782609,0.40126086956521734,0.0064371869565217395,0.6666282608695652,a day to remember
A Família,0.7233333333333333,0.8113333333333334,0.7983333333333333,0.29473333333333335,0.5040633333333333,a família
A Feast for Kings,0.211,0.99,0.494,0.000583,0.575025,a feast for kings
A Fine Frenzy,0.167,0.24,0.549,0.947,0.5979,a fine frenzy
A Flock Of Seagulls,0.685142857142857,0.7554285714285714,0.5107142857142858,0.0017215714285714286,0.734955,a flock of seagulls
A Forest Mighty Black,0.552,0.7505,0.6234999999999999,0.1471,0.506365,a forest mighty black
A Great Big World,0.2714615384615385,0.3172307692307692,0.5169230769230769,0.6961846153846154,0.6004153846153846,a great big world
A Great Big World;Christina Aguilera,0.11737500000000001,0.177,0.415,0.8195,0.66366125,a great big world;christina aguilera
A Great Big World;Futuristic,0.51,0.796,0.61,0.0365,0.79972,a great big world;futuristic
A Life Once Lost,0.329,0.976,0.45,6.65e-06,0.76354,a life once lost
A Mose,0.247,0.739,0.701,0.0855,0.5049049999999999,a mose
A Mose;Marizu,0.761,0.621,0.506,0.326,0.48554499999999995,a mose;marizu
A Mose;Nolly,0.642,0.576,0.853,0.0218,0.52006,a mose;nolly
A Mose;TBabz,0.612,0.499,0.788,0.205,0.489885,a mose;tbabz
A Niu,0.594,0.149,0.622,0.913,0.560745,a niu
A Number Of Names,0.374,0.49224999999999997,0.7967500000000001,0.0097975,0.66849125,a number of names
A R I Z O N A,0.328,0.539,0.691,0.246,0.49987000000000004,a r i z o n a
A Rocket To The Moon,0.35083333333333333,0.6261666666666666,0.42238888888888887,0.2590166666666667,0.7507186111111112,a rocket to the moon
A Si,0.523,0.606,0.638,0.4835,0.74295,a si
A Si;Yoga Lin,0.741,0.628,0.697,0.418,0.59995,a si;yoga lin
A Skylit Drive,0.5185,0.9535,0.4365,0.00032450000000000003,0.76009,a skylit drive
A Tribe Called Quest,0.7946666666666666,0.5203333333333333,0.8649999999999999,0.13573333333333334,0.4855583333333333,a tribe called quest
A Vida Music,0.5255000000000001,0.33199999999999996,0.538,0.833,0.5686775,a vida music
A Wilhelm Scream,0.2959,0.959,0.3116666666666667,0.0026983333333333334,0.6187283333333333,a wilhelm scream
A Winged Victory for the Sullen;Adam Bryanbaum Wiltzie;Dustin O'Halloran,0.17,0.0176,0.287,0.988,0.39796,a winged victory for the sullen;adam bryanbaum wiltzie;dustin o'halloran
A$AP Rocky;Skepta,0.294,0.569,0.854,0.0609,0.400075,a$ap rocky;skepta
A*S*Y*S,0.0301,0.976,0.779,0.0979,0.6500400000000001,a*s*y*s
A*S*Y*S;Kai Tracid,0.0615,0.957,0.705,0.00947,0.665035,a*s*y*s;kai tracid
A*S*Y*S;Kai Tracid;Tom Wax,0.0523,0.917,0.7,0.0196,0.660095,a*s*y*s;kai tracid;tom wax
A-Lin,0.2750222222222222,0.42233333333333334,0.3796666666666667,0.7026666666666667,0.6302188888888889,a-lin
A-Lusion,0.2415,0.997,0.49,0.06670000000000001,0.7500625000000001,a-lusion
A-Lusion;Scope DJ;Second Identity,0.27849999999999997,0.961,0.632,0.019265,0.7563225,a-lusion;scope dj;second identity
A-Mei Chang,0.295,0.39985714285714286,0.4952857142857143,0.6212857142857143,0.6129107142857143,a-mei chang
A-do,0.282,0.5495,0.6455,0.3765,0.564925,a-do
A. G. Cook,0.4423333333333333,0.5743333333333333,0.5683333333333334,0.429,0.5682983333333333,a. g. cook
A. G. Cook;Cecile Believe,0.605,0.433,0.755,0.431,0.80026,a. g. cook;cecile believe
A. Kanyakumari;Janardan Mitta,0.184,0.08,0.273,0.986,0.44126,a. kanyakumari;janardan mitta
A.B.I,0.583,0.579,0.751,0.0848,0.77515,a.b.i
A.CHAL,0.387,0.472,0.734,0.494,0.950055,a.chal
A.M.C,0.31158571428571424,0.9811428571428572,0.614,0.0023905000000000003,0.8685328571428571,a.m.c
A.M.C;Drumsound & Bassline Smith,0.0477,0.975,0.464,0.000409,0.87043,a.m.c;drumsound & bassline smith
A.M.C;Turno,0.176,0.965,0.539,0.00392,0.87032,a.m.c;turno
A.M.R,0.362,0.675,0.682,0.00292,0.600045,a.m.r
A.M.R;Brandon Mignacca,0.108,0.601,0.542,0.291,0.5801149999999999,a.m.r;brandon mignacca
A.N.I.M.A.L.,0.19833333333333333,0.8506666666666667,0.5266666666666667,0.008146666666666667,0.5333866666666667,a.n.i.m.a.l.
A.N.I.M.A.L.;Chuck Jhonson and Juan Jose Burgos;Richard Kaplan,0.41488888888888886,0.943111111111111,0.5174444444444445,0.00033417777777777785,0.5715144444444444,a.n.i.m.a.l.;chuck jhonson and juan jose burgos;richard kaplan
A.N.I.M.A.L.;Chuck Jonhson,0.3033333333333333,0.8883333333333333,0.49699999999999994,0.0009736666666666666,0.6547066666666667,a.n.i.m.a.l.;chuck jonhson
A.N.I.M.A.L.;Mario Altamirano and A.N.I.M.A.L.,0.30271428571428566,0.9765714285714286,0.5088571428571428,0.00022624285714285713,0.5526585714285714,a.n.i.m.a.l.;mario altamirano and a.n.i.m.a.l.
A.N.I.M.A.L.;Richard Kaplan,0.2995,0.9495,0.53375,0.0043456499999999995,0.56841,a.n.i.m.a.l.;richard kaplan
A.R. Rahman,0.3901111111111111,0.47633333333333333,0.5944444444444444,0.5876666666666667,0.5951183333333333,a.r. rahman
A.R. Rahman;A. R. Reihana;Bamba Bakya,0.5635,0.635,0.687,0.1195,0.75999,a.r. rahman;a. r. reihana;bamba bakya
A.R. Rahman;Abhay Jodhpurkar;Harini,0.286,0.371,0.501,0.891,0.649355,a.r. rahman;abhay jodhpurkar;harini
A.R. Rahman;Antara Nandy,0.292,0.308,0.441,0.9579999999999999,0.7479650000000001,a.r. rahman;antara nandy
A.R. Rahman;Arijit Singh,0.36966666666666664,0.30729999999999996,0.6343333333333333,0.6956666666666665,0.6316166666666666,a.r. rahman;arijit singh
A.R. Rahman;Arijit Singh;Shashaa Tirupati,0.30179999999999996,0.5048,0.5856,0.738,0.5929610000000001,a.r. rahman;arijit singh;shashaa tirupati
A.R. Rahman;Asha Bhosle;Udit Narayan;Vaishali Samant,0.723,0.505,0.729,0.229,0.742175,a.r. rahman;asha bhosle;udit narayan;vaishali samant
A.R. Rahman;Badshah;Tanishk Bagchi;Shashaa Tirupati;Jubin Nautiyal,0.392,0.65,0.721,0.0115,0.652435,a.r. rahman;badshah;tanishk bagchi;shashaa tirupati;jubin nautiyal
A.R. Rahman;Chinmayi;Murtuza Khan;Qadir Khan,0.855,0.7343333333333333,0.7446666666666667,0.277,0.72015,a.r. rahman;chinmayi;murtuza khan;qadir khan
A.R. Rahman;Devan Ekambaram;Chinmayi,0.944,0.901,0.731,0.231,0.665195,a.r. rahman;devan ekambaram;chinmayi
A.R. Rahman;Haricharan;Shreya Ghoshal,0.68,0.84,0.72,0.591,0.429975,a.r. rahman;haricharan;shreya ghoshal
A.R. Rahman;Jaswinder Singh;Shiraz Uppal,0.78,0.714,0.673,0.111,0.564705,a.r. rahman;jaswinder singh;shiraz uppal
A.R. Rahman;Javed Ali,0.488,0.343,0.7,0.767,0.68932,a.r. rahman;javed ali
A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,0.566,0.621,0.72,0.676,0.574935,a.r. rahman;javed ali;kirti sagathia;pooja av
A.R. Rahman;Javed Ali;Mohit Chauhan,0.575,0.378,0.362,0.679,0.43774500000000005,a.r. rahman;javed ali;mohit chauhan
A.R. Rahman;Jonita Gandhi,0.846,0.886,0.568,0.0123,0.80027,a.r. rahman;jonita gandhi
A.R. Rahman;Karthik,0.287,0.663,0.674,0.3,0.464985,a.r. rahman;karthik
